Id_Franquicia,Nombre_Franquicia,Min_Inversion,Max_Inversion,Año_Fundado,Unidades
445,Beggars Pizza,343000.0,1080000.0,2004,26
446,Cream,252000.0,381000.0,2011,26
447,Tastea,368000.0,655000.0,2013,26
448,Abbott's Frozen Custard,380000.0,677000.0,1977,25
449,Modern Market Eatery,729000.0,1470000.0,2009,25
450,The Lost Cajun,250000.0,668000.0,2012,25
451,Fat Tuesday,479000.0,1080000.0,2018,25
452,Tio Juan’s Margaritas Mexican Restaurant,1380000.0,2880000.0,2008,25
453,Board & Brew,567000.0,802000.0,1979,25
454,Island Fin Poke,284000.0,450000.0,2018,25
455,Feng Cha,179000.0,538000.0,2016,25
456,Tapioca Express,128000.0,594000.0,1999,24
457,Popbar,217000.0,458000.0,2010,24
458,Paciugo Gelato Caffè,110000.0,612000.0,2017,24
459,Happy and Healthy Products,90000.0,223000.0,1991,24
460,Suki Hana,295000.0,1390000.0,1968,24
461,Inchins Bamboo Garden,316000.0,762000.0,2006,24
462,The Dapper Doughnut,43000.0,353000.0,2015,24
463,Kale Me Crazy,310000.0,493000.0,2014,24
464,Brixx Wood Fired Pizza,940000.0,1520000.0,2006,23
465,Corporate Caterers,149000.0,228000.0,2017,23
466,LA Crawfish,346000.0,504000.0,2013,23
467,Slapfish,755000.0,1310000.0,2013,23
468,Hot Box Pizza,223000.0,395000.0,2008,23
469,Sprinkles Cupcakes,725000.0,1310000.0,2005,23
470,Summer Moon Coffee,596000.0,987000.0,2005,23
471,Flippin' Pizza New York Style,221000.0,513000.0,2009,23
472,Yogurt Mountain,271000.0,857000.0,2009,23
473,Pure Green,170000.0,425000.0,2016,23
474,Burger 21,413000.0,1060000.0,2011,22
475,Bananas Smoothies & Frozen Yogurt,225000.0,457000.0,1975,22
476,Breadsmith,408000.0,487000.0,1993,22
477,Pizza 9,59000.0,390000.0,2015,22
478,Green Leaf's Beyond Great Salads,285000.0,484000.0,1975,22
479,Cookie Advantage,93000.0,171000.0,2001,22
480,The Boiling Crab,1060000.0,3790000.0,2004,22
481,Ground Round,320000.0,2210000.0,1969,22
482,Biscuit's Cafe,347000.0,960000.0,1998,22
483,BGR Burgers,193000.0,587000.0,2009,21
484,Brown's Chicken,358000.0,2700000.0,2010,21
485,Bonanza Steakhouse,291000.0,1490000.0,1966,21
486,Elmer's,741000.0,3380000.0,1960,21
487,Cabin Coffee,350000.0,1500000.0,2006,21
488,Rodizio Grill,783000.0,2980000.0,1996,21
489,Savvy Sliders,411000.0,782000.0,2019,21
490,Pho Hoa,333000.0,680000.0,2005,21
491,Hangry Joe's,239000.0,421000.0,2021,20
492,Hurts Donut Company,502000.0,819000.0,2013,20
493,Mongolian Grill,881000.0,2280000.0,1995,20
494,TKK Fried Chicken,192000.0,698000.0,2017,20
495,Parlor Doughnuts,373000.0,752000.0,2019,20
496,Benny's Pizza,170000.0,534000.0,2011,20
497,Philly's Best Cheesesteaks,237000.0,488000.0,1998,20
498,I Heart Mac & Cheese,278000.0,756000.0,2017,20
499,Little Big Burger,212000.0,464000.0,2017,19
500,Shuckin Shack,472000.0,1420000.0,2014,19
501,Pita Jungle,519000.0,992000.0,1994,19
